case_a,case_b,overlap_bars
CASE-008,CASE-023,0
CASE-008,CASE-024,0
CASE-008,CASE-025,0
CASE-008,CASE-026,0
CASE-008,CASE-027,0
CASE-008,CASE-028,0
CASE-008,CASE-029,0
CASE-008,CASE-030,0
CASE-008,CASE-031,0
CASE-008,CASE-032,0
CASE-008,CASE-033,0
CASE-008,CASE-034,0
CASE-008,CASE-035,0
CASE-008,CASE-036,0
CASE-008,CASE-037,0
CASE-008,CASE-038,0
CASE-008,CASE-039,0
CASE-008,CASE-040,0
CASE-008,CASE-041,0
CASE-008,CASE-042,0
CASE-008,CASE-043,0
CASE-008,CASE-044,0
CASE-008,CASE-045,0
CASE-009,CASE-010,0
CASE-009,CASE-011,0
CASE-009,CASE-012,0
CASE-009,CASE-013,0
CASE-009,CASE-014,0
CASE-009,CASE-015,0
CASE-009,CASE-016,0
CASE-009,CASE-017,0
CASE-009,CASE-018,0
CASE-009,CASE-019,0
CASE-009,CASE-020,0
CASE-009,CASE-021,0
CASE-009,CASE-022,0
CASE-009,CASE-023,0
CASE-009,CASE-024,0
CASE-009,CASE-025,0
CASE-009,CASE-026,0
CASE-009,CASE-027,0
CASE-009,CASE-028,0
CASE-009,CASE-029,0
CASE-009,CASE-030,0
CASE-009,CASE-031,0
CASE-009,CASE-032,0
CASE-009,CASE-033,0
CASE-009,CASE-034,0
CASE-009,CASE-035,0
CASE-009,CASE-036,0
CASE-009,CASE-037,0
CASE-009,CASE-038,0
CASE-009,CASE-039,0
CASE-009,CASE-040,0
CASE-009,CASE-041,0
CASE-009,CASE-042,0
CASE-009,CASE-043,0
CASE-009,CASE-044,0
CASE-009,CASE-045,0
CASE-010,CASE-011,0
CASE-010,CASE-012,0
CASE-010,CASE-013,0
CASE-010,CASE-014,0
CASE-010,CASE-015,0
CASE-010,CASE-016,0
CASE-010,CASE-017,0
CASE-010,CASE-018,0
CASE-010,CASE-019,0
CASE-010,CASE-020,0
CASE-010,CASE-021,0
CASE-010,CASE-022,0
CASE-010,CASE-023,0
CASE-010,CASE-024,0
CASE-010,CASE-025,0
CASE-010,CASE-026,0
CASE-010,CASE-027,0
CASE-010,CASE-028,0
CASE-010,CASE-029,0
CASE-010,CASE-030,0
CASE-010,CASE-031,0
CASE-010,CASE-032,0
CASE-010,CASE-033,0
CASE-010,CASE-034,0
CASE-010,CASE-035,0
CASE-010,CASE-036,0
CASE-010,CASE-037,0
CASE-010,CASE-038,0
CASE-010,CASE-039,0
CASE-010,CASE-040,0
CASE-010,CASE-041,0
CASE-010,CASE-042,0
CASE-010,CASE-043,0
CASE-010,CASE-044,0
CASE-010,CASE-045,0
CASE-011,CASE-012,0
CASE-011,CASE-013,0
CASE-011,CASE-014,0
CASE-011,CASE-015,0
CASE-011,CASE-016,0
CASE-011,CASE-017,0
CASE-011,CASE-018,0
CASE-011,CASE-019,0
CASE-011,CASE-020,0
CASE-011,CASE-021,0
CASE-011,CASE-022,0
CASE-011,CASE-023,0
CASE-011,CASE-024,0
CASE-011,CASE-025,0
CASE-011,CASE-026,0
CASE-011,CASE-027,0
CASE-011,CASE-028,0
CASE-011,CASE-029,0
CASE-011,CASE-030,0
CASE-011,CASE-031,0
CASE-011,CASE-032,0
CASE-011,CASE-033,0
CASE-011,CASE-034,0
CASE-011,CASE-035,0
CASE-011,CASE-036,0
CASE-011,CASE-037,0
CASE-011,CASE-038,0
CASE-011,CASE-039,0
CASE-011,CASE-040,0
CASE-011,CASE-041,0
CASE-011,CASE-042,0
CASE-011,CASE-043,0
CASE-011,CASE-044,0
CASE-011,CASE-045,0
CASE-012,CASE-013,0
CASE-012,CASE-014,0
CASE-012,CASE-015,0
CASE-012,CASE-016,0
CASE-012,CASE-017,0
CASE-012,CASE-018,0
CASE-012,CASE-019,0
CASE-012,CASE-020,0
CASE-012,CASE-021,0
CASE-012,CASE-022,0
CASE-012,CASE-023,0
CASE-012,CASE-024,0
CASE-012,CASE-025,0
CASE-012,CASE-026,0
CASE-012,CASE-027,0
CASE-012,CASE-028,0
CASE-012,CASE-029,0
CASE-012,CASE-030,0
CASE-012,CASE-031,0
CASE-012,CASE-032,0
CASE-012,CASE-033,0
CASE-012,CASE-034,0
CASE-012,CASE-035,0
CASE-012,CASE-036,0
CASE-012,CASE-037,0
CASE-012,CASE-038,0
CASE-012,CASE-039,0
CASE-012,CASE-040,0
CASE-012,CASE-041,0
CASE-012,CASE-042,0
CASE-012,CASE-043,0
CASE-012,CASE-044,0
CASE-012,CASE-045,0
CASE-013,CASE-014,0
CASE-013,CASE-015,0
CASE-013,CASE-016,0
CASE-013,CASE-017,0
CASE-013,CASE-018,0
CASE-013,CASE-019,0
CASE-013,CASE-020,0
CASE-013,CASE-021,0
CASE-013,CASE-022,0
CASE-013,CASE-023,0
CASE-013,CASE-024,0
CASE-013,CASE-025,0
CASE-013,CASE-026,0
CASE-013,CASE-027,0
CASE-013,CASE-028,0
CASE-013,CASE-029,0
CASE-013,CASE-030,0
CASE-013,CASE-031,0
CASE-013,CASE-032,0
